"","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000000419",0.682405847046541,0.112045254563319,1.25276643952976,3.9331853733989,2.45033946350949,0.0207510739156094,0.0299986636444601,-3.89863210759613
"ENSG00000000938",6.10014194222955,4.17279340864403,8.02749047581507,4.72846790548703,6.49816414606629,6.13121480761402e-07,3.17687141094246e-06,6.10982026234487
"ENSG00000001167",2.06167669665548,1.28954071810381,2.83381267520714,6.38446187451629,5.46839401606512,7.61624353281888e-06,2.55974703110788e-05,3.4438124952296
"ENSG00000002549",1.50014945656308,0.611836644145656,2.3884622689805,6.01734806694409,3.45861029255384,0.00174834724710091,0.00314596624251239,-1.82937105413013
"ENSG00000002822",1.1664096796375,0.456643526276797,1.8761758329982,4.68813759272625,3.36564926780344,0.00222326437288639,0.00391604254490622,-1.92015212942678
"ENSG00000002834",2.35876350531342,1.76195631721395,2.95557069341289,7.90501813091077,8.09437612731466,7.93665803529982e-09,1.10647719354297e-07,10.2023142613752
"ENSG00000002919",2.21311127937217,0.995126172919201,3.43109638582514,3.2916286619822,3.72129672322915,0.000878182235103606,0.00168852511453288,-0.858549277487515
"ENSG00000003056",3.1820610109288,2.1868657184003,4.17725630345731,4.99481335629972,6.54837008621374,4.15376516269965e-07,2.31229503319369e-06,6.415874140375
"ENSG00000003400",2.9648965595686,1.6073403877312,4.322452731406,4.30045697804052,4.4740283131611,0.000116967909638623,0.000277547013936619,1.0482711297576
"ENSG00000003402",3.61293613979176,2.8695008838445,4.35637139573901,8.79464851843659,9.95291188443237,1.02066958182651e-10,6.17308475257068e-09,14.531796837052
"ENSG00000003509",1.24838951904167,0.508308072897454,1.98847096518589,3.38307374956008,3.45464657616326,0.00176642199018517,0.00317601933300834,-1.54285448228218
"ENSG00000003756",2.20368866761346,1.62909920670674,2.77827812852018,7.60823565897384,7.85462777714995,1.43833572105413e-08,1.728912267482e-07,9.6150600629986
"ENSG00000004059",0.919295527049481,0.261329040780142,1.57726201331882,5.29467735438867,2.86143839622064,0.00787265239532878,0.012374471644038,-3.19103840055906
"ENSG00000004399",4.12008042246655,2.56603724881475,5.67412359611834,3.33697675535186,5.4362721289692,9.04244029418226e-06,2.95434124079296e-05,3.50065485152803
