,genes,95ci_lower,95ci_upper,passed,trueLFC
0,ENSG00000000419,-0.12949111814932612,1.2058954388060035,False,0.5554208916362171
1,ENSG00000000460,1.6808170828053548,3.865807213261476,True,2.3130663700077525
2,ENSG00000000938,4.3575498255800085,7.497144699902761,True,6.047406682279711
3,ENSG00000001036,0.25044323026641324,1.9194657924384728,True,1.080941676681216
4,ENSG00000002549,-0.21516202127745565,1.0642249225656046,False,0.5480580861604771
5,ENSG00000002586,2.0161606633975984,3.9318787037368734,True,3.1604843765853516
6,ENSG00000002822,-0.4696768179839208,2.0119136504937654,False,1.2226464251441902
7,ENSG00000002834,1.8225840418769357,2.4301599792970032,True,2.0998242949564734
8,ENSG00000002919,1.5952535568047161,3.222202738588879,True,2.65812702211302
9,ENSG00000003056,0.6358718316240486,2.1889516625630367,True,1.7042526557027835
10,ENSG00000003400,0.19049607395452384,1.5804657769320614,True,0.9108411966780454
11,ENSG00000003402,-0.17099965716883098,0.17362180813433792,False,0.04613166810938285
12,ENSG00000003436,2.284544723443961,4.035189913882336,True,3.211516443173233
13,ENSG00000003756,0.05658267773865511,1.3750554102904056,True,0.751411953508982
14,ENSG00000004059,1.1361538528882642,2.2718903948920426,True,1.6949016766470937
15,ENSG00000004399,2.7978950498112773,5.004547788642145,True,4.147477100893576
16,ENSG00000004660,-0.02137328400608096,2.774172351645225,False,1.5904777380607789
17,ENSG00000004799,1.0879743762572875,2.181841378623007,True,1.4640119233609044
18,ENSG00000004866,1.8758822488499294,3.634912251110115,True,2.4681447930831264
19,ENSG00000004939,6.888304238065764,9.184228978308262,True,8.261361453424085
20,ENSG00000005020,1.571187997258428,2.7109848818862927,True,1.9938665476569435
21,ENSG00000005022,0.8710215738239526,1.7292630490681347,True,1.2465010458469585
22,ENSG00000005059,3.6921077971201823,5.270195787256548,True,4.041394245641606
23,ENSG00000005102,3.229767394469121,4.106996175398079,True,3.7558724429607793
24,ENSG00000005206,-0.7499027911671488,2.754807742715723,False,0.7487920118067153
25,ENSG00000005238,2.404938873873557,4.222200616756998,True,3.0103590263863955
26,ENSG00000005249,2.8439573834427803,5.00154811869086,True,3.6906195954818495
27,ENSG00000005302,1.1739079188333061,2.1588344056468496,True,1.605866054389364
28,ENSG00000005339,-0.2377778606674159,1.0872071146753637,False,0.24571944203678076
29,ENSG00000005381,4.348385302034883,6.91014944772566,True,5.620198415731567
30,ENSG00000005448,0.43435085573699794,1.8175542513410865,True,1.2129842819745424
31,ENSG00000005483,-0.05255018125602229,0.5716386286895574,False,0.21553718796043064
32,ENSG00000005486,0.3443553054590147,1.746748919060594,True,1.0112431206497523
33,ENSG00000005844,6.009633712826101,8.627760519253773,True,6.837965100259367
34,ENSG00000005893,0.9738759022136518,2.259594034179914,True,1.505993284009088
35,ENSG00000005961,8.42402331041789,10.904851000266582,True,9.143411269831441
36,ENSG00000006062,-0.03400094419991029,1.209263548145754,False,0.35481220211056286
37,ENSG00000006125,0.4388472988341272,1.1381153971806937,True,0.8086268205680947
38,ENSG00000006210,2.232213351071004,4.758496885196787,True,3.312025665879295
39,ENSG00000006459,0.2655158879174544,1.6982290544366072,True,0.7142183971401215
40,ENSG00000006534,0.49216793203693854,1.5847135484353245,True,1.0182075491826792
41,ENSG00000006576,1.7849019895635077,2.9900857733983863,True,2.359590058124843
42,ENSG00000006638,4.304243642826564,7.023436773556671,True,5.640512072011704
43,ENSG00000006652,1.6784199709941179,4.421848629085243,True,2.8398271008814064
44,ENSG00000006831,0.25105793521546693,1.1369959876002085,True,0.9102146978154497
45,ENSG00000007047,0.3829460505828033,1.8589664987810386,True,1.1798932898366568
46,ENSG00000007080,-0.17760455778908035,0.8230392789580145,False,0.6887361252908075
47,ENSG00000007129,2.2749862623594264,3.1633570847734713,True,2.7295600759863983
48,ENSG00000007237,3.996332146884436,6.926162455923829,True,5.516353962999823
49,ENSG00000007255,-0.1463165692402164,2.2792469539442535,False,1.429563570155759
50,ENSG00000007264,5.661473863505394,7.666469406016786,True,6.136154625706663
51,ENSG00000007312,5.281230689061092,6.218818598731978,True,5.642209700384626
52,ENSG00000007341,1.457195686051282,3.281857285905868,True,2.057263574057163
