"","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000000938",5.88507365522236,3.43856530214845,8.33158200829628,5.72261265244051,4.83610936264214,1.39584635614818e-05,0.000366359070646414,3.0481970356787
"ENSG00000001629",1.17823407329278,0.171849683060506,2.18461846352504,6.00551730828717,2.3537406051721,0.0227115959857098,0.0865022437052942,-3.72053456853892
"ENSG00000002919",3.03661484409252,1.17347546022569,4.89975422795934,3.95584414551262,3.27668941357828,0.00195157932816037,0.0145847867036898,-1.40085521433971
"ENSG00000004059",2.23427718130029,1.05399864699584,3.41455571560473,5.78130074534708,3.80577803235585,0.000399199569113765,0.00449874388130358,-0.0548866575072511
"ENSG00000004399",3.49289230183515,1.19932744243637,5.78645716123394,4.32692524411172,3.06171726078046,0.00359381329811713,0.022870929108514,-1.97823008246435
"ENSG00000004455",1.24766896562999,0.211940542233033,2.28339738902695,5.75606688503998,2.42183410899418,0.0192544602398728,0.0770648208988012,-3.58287610919279
"ENSG00000004939",7.67338058071196,4.35554369103724,10.9912174703867,4.45169842134872,4.64967524346271,2.61232542695202e-05,0.000581713205517393,2.44383714209797
"ENSG00000005022",2.65556375753027,1.62864507112768,3.68248244393286,6.8427418829749,5.19890150724465,4.046977294725e-06,0.000135427598526533,4.18262263693441
"ENSG00000005238",3.06370851710779,1.23398968447189,4.8934273497437,4.78482770861359,3.36630916390257,0.00150367055719348,0.0119965027831191,-1.20091503523427
"ENSG00000005302",1.93754382300454,0.539733053061082,3.335354592948,5.16475636030271,2.78672468943528,0.00759469713532578,0.0397106407939539,-2.68021005234866
"ENSG00000005381",4.10276368851223,0.647642809645289,7.55788456737918,2.16163125131731,2.38728445856263,0.0209444566412271,0.081788612368513,-3.33786390265774
"ENSG00000005448",2.48509857563432,0.61793246965496,4.35226468161367,2.09668663286779,2.67578724269276,0.0101567420222243,0.0486127418123703,-2.76202374782671
"ENSG00000005483",1.26860938802951,0.361121694397816,2.1760970816612,8.23438599078273,2.81046441122766,0.0071305533047849,0.0380096352490016,-2.87918863910951
"ENSG00000005844",2.71366512335191,0.581888505166992,4.84544174153682,4.8297632808946,2.55920733689927,0.0136852380203258,0.0599512954294054,-3.20332379392939
"ENSG00000005961",6.81778375273493,1.40048552969475,12.2350819757751,3.20693686056294,2.53178414105951,0.0147488642668579,0.0634343333890887,-3.05263662577246
"ENSG00000006576",2.0040315500709,0.377186677044228,3.63087642309757,3.69537271462805,2.47656268530482,0.0168278287182282,0.0698810246702844,-3.28432130318088
"ENSG00000007047",1.82373824833204,0.355159192560566,3.29231730410351,5.25502873508102,2.49664095146494,0.0160093832630732,0.0672941521878026,-3.32284922460351
"ENSG00000007237",3.05388789928251,0.956070302988154,5.15170549557687,4.87290570983643,2.92668701551344,0.00521435730467667,0.0301679024807351,-2.37495729626134
"ENSG00000007312",2.98079181367077,0.394784639423225,5.56679898791832,1.76906076254612,2.31735640719147,0.0247783768482244,0.0924181391761617,-3.47288919731516
"ENSG00000007968",4.17794582166619,1.39276408578206,6.96312755755031,1.81478883207179,3.01578362572242,0.00408302429820621,0.0252220339850254,-1.97309932556326
"ENSG00000008324",2.78436889002995,0.847491935259727,4.72124584480017,3.07290753466249,2.89011852940743,0.00575829499706058,0.0324704329525823,-2.30541227579187
"ENSG00000008438",4.22830420064016,0.846450363132152,7.61015803814817,2.1144692539589,2.51363551895305,0.0153450230375473,0.0653218638865976,-3.10110195457554
"ENSG00000008517",4.76400445578764,2.80791568385666,6.72009322771862,4.98527292506487,4.89637320203851,1.13817603477623e-05,0.000310920786642841,3.23366055077047
"ENSG00000009307",0.835291475565324,0.261710123332537,1.40887282779811,9.60947292457116,2.92774966111448,0.00519929095208417,0.030124094319561,-2.72176934868647
